timestamp,whisker1_1,whisker2_2
1714396630.1284826,[-2.00855803],[22.98758794]
1714396630.1388328,[-2.00855803],[22.98758794]
1714396630.1491416,[-2.08654817],[24.0696368]
1714396630.1594284,[-2.08654817],[24.0696368]
1714396630.1697197,[-1.99773312],[25.09005082]
1714396630.1800323,[-1.99773312],[25.09005082]
1714396630.190474,[-2.09757704],[26.27221462]
1714396630.200748,[-2.38763698],[27.12693003]
1714396630.2112105,[-2.38763698],[27.12693003]
1714396630.2215178,[-2.38763698],[27.12693003]
1714396630.23181,[-2.48674939],[28.03368357]
1714396630.242503,[-2.37187967],[29.74544943]
1714396630.2527907,[-2.37187967],[29.74544943]
1714396630.2630801,[-2.17914831],[31.13925718]
1714396630.2735074,[-2.17914831],[31.13925718]
1714396630.283793,[-2.20956949],[32.75612681]
1714396630.2940767,[-2.20956949],[32.75612681]
1714396630.3045144,[-1.92162052],[34.96795799]
1714396630.3148146,[-1.92162052],[34.96795799]
1714396630.3250988,[-1.23908083],[37.50730871]
1714396630.3356764,[-1.23908083],[37.50730871]
1714396630.34598,[-0.94797858],[39.88289486]
1714396630.3562622,[-0.94797858],[39.88289486]
1714396630.3665426,[-1.04887984],[41.28008404]
1714396630.3767612,[-1.04887984],[41.28008404]
